"","playerID","W","club.300","CG","SHO","SV","IPouts","SO","yrs.played","last.year","best.7.ERA","best.7.WHIP","best.7.ERA_Plus","best.7.FIP","best.7.H9","best.7.HR9","best.7.BB9","best.7.SO9","best.7.SO_per_BB","Prime_years","best.7.Role","nameFirst","nameLast","HOF.Player","pred.prob","HOF.Score"
"1242","sloweke01",43,"no",3,2,0,1986,495,7,2014,4.62,1.32,92,4.15,10,1.3,1.5,6.8,4.58,2010,"Starter","Kevin","Slowey","FALSE",4.65388948961406e-07,0
"1243","smilejo01",126,"no",28,8,4,5723,1284,12,1997,3.31,1.16,123,3.46,8.3,0.7,2.2,6.1,2.82,1992,"Starter","John","Smiley","FALSE",0.000444779648652971,0
"1244","smithal03",99,"no",75,16,17,4987,587,12,1945,3.46,1.34,115,3.9,9,0.5,3.1,3.1,1,1939,"Starter","Al","Smith","FALSE",0.000257754293461758,0
"1245","smithbo02",106,"no",128,16,40,6739,618,13,1937,3.67,1.37,116,4.15,9.7,0.5,2.7,2.6,0.97,1931,"Starter","Bob","Smith","FALSE",7.77878857908758e-05,0
"1246","smithbr01",108,"no",23,8,6,5374,1028,13,1993,3.2,1.16,123,3.4,8.2,0.7,2.2,5.1,2.38,1987,"Starter","Bryn","Smith","FALSE",0.000104881112083163,0
"1247","smithch02",66,"no",87,10,3,4048,570,10,1914,2.64,1.22,102,2.46,8.8,0.1,2.3,3.9,1.7,1909,"Starter","Charlie","Smith","FALSE",3.22952392091366e-06,0
"1248","smithda02",53,"no",0,0,216,2428,548,13,1992,2.22,1.1,180,2.74,7.3,0.4,2.7,6.7,2.5,1986,"Reliever","Dave","Smith","FALSE",0.0110651249167438,1.1
"1249","smithed04",73,"no",91,8,12,4787,694,10,1947,3.53,1.39,110,4.03,8.5,0.6,4,3.8,0.96,1941,"Starter","Eddie","Smith","FALSE",1.35455574129685e-05,0
"1250","smithfr03",139,"no",184,27,6,6822,1051,11,1915,2.22,1.08,120,2.36,7.1,0.1,2.5,4.3,1.72,1908,"Starter","Frank","Smith","FALSE",0.00265289109598192,0.3
"1251","smithge02",41,"no",52,5,4,3430,263,8,1923,3.91,1.39,91,3.66,10.6,0.4,2,2,1,1920,"Starter","George","Smith","FALSE",1.08632080889097e-06,0
"1252","smithle02",71,"no",0,0,478,3868,1251,18,1997,2.49,1.21,166,2.66,7.8,0.5,3.1,8.8,2.81,1988,"Reliever","Lee","Smith","TRUE",0.0876997754457849,8.8
"1253","smithmi03",76,"no",41,6,2,4069,731,8,1989,4.43,1.36,90,4.2,9.6,1,2.5,4.9,1.96,1985,"Starter","Mike","Smithson","FALSE",6.57051409634352e-06,0
"1254","smithpe02",47,"no",12,4,1,3077,640,11,1998,4.42,1.4,99,4.57,9,1,3.6,5.4,1.49,1992,"Starter","Pete","Smith","FALSE",8.72267592468682e-07,0
"1255","smithsh01",114,"no",142,16,21,6158,428,14,1927,2.74,1.22,128,3.22,9.2,0.2,1.8,1.9,1.08,1920,"Starter","Sherry","Smith","FALSE",0.000161221063789066,0
"1256","smithza01",100,"no",35,16,3,5758,1011,13,1996,3.35,1.26,122,3.54,8.8,0.6,2.4,4.8,1.96,1990,"Starter","Zane","Smith","FALSE",1.78238717522318e-05,0
"1257","smoltjo01",213,"no",53,16,154,10419,3084,21,2009,2.91,1.1,163,2.85,7.9,0.7,2,8.9,4.33,2001,"Starter","John","Smoltz","TRUE",0.682639370108104,68.3
"1258","solomed01",36,"no",8,0,4,2154,337,10,1982,4.02,1.4,100,4.16,9.3,0.9,2.8,4.3,1.5,1979,"Starter","Eddie","Solomon","FALSE",5.57588487648745e-08,0
"1259","sorenla01",93,"no",69,10,6,5209,569,11,1988,3.83,1.3,102,3.79,9.6,0.7,1.9,2.8,1.44,1981,"Starter","Lary","Sorensen","FALSE",1.72823230859456e-05,0
"1260","soriara01",24,"no",0,0,207,1909,641,14,2015,2.46,1.01,184,3.14,6.5,0.8,2.6,9.5,3.68,2009,"Reliever","Rafael","Soriano","FALSE",9.07045428839213e-05,0
"1261","sorrevi01",92,"no",95,8,10,5015,619,10,1937,4.34,1.5,100,4.46,9.7,0.5,3.7,3.3,0.9,1932,"Starter","Vic","Sorrell","FALSE",5.82486953116707e-05,0
"1262","sosael01",59,"no",0,0,83,2754,538,12,1983,2.85,1.26,141,3.32,8.4,0.5,3.2,5.3,1.67,1977,"Reliever","Elias","Sosa","FALSE",0.000210113188243011,0
"1263","sosajo02",44,"no",1,1,7,2318,491,9,2010,4.6,1.46,103,5.04,9,1.3,4.1,5.7,1.39,2005,"Reliever","Jorge","Sosa","FALSE",3.17808478673473e-06,0
"1264","sothoal01",91,"no",102,17,9,4747,576,11,1926,3,1.33,117,3.39,8.6,0.2,3.2,3.2,1,1921,"Starter","Allan","Sothoron","FALSE",4.67725538128668e-05,0
"1265","sotoma01",100,"no",72,13,4,5191,1449,12,1988,3.29,1.15,120,3.4,7,0.8,3.3,8,2.46,1984,"Starter","Mario","Soto","FALSE",3.09852508992749e-05,0
"1266","spahnwa01",363,"yes",382,63,29,15731,2583,21,1965,2.74,1.17,150,3.33,7.9,0.7,2.7,4.6,1.72,1952,"Starter","Warren","Spahn","TRUE",0.999921580079938,100
"1267","sparkst01",59,"no",16,2,3,3959,658,9,2004,4.62,1.47,99,4.66,9.8,0.9,3.3,4.7,1.39,2000,"Starter","Steve","Sparks","FALSE",1.00730811040372e-06,0
"1268","sparktu01",121,"no",203,19,8,7031,780,12,1910,2.62,1.2,115,2.95,8.2,0.1,2.4,3.1,1.31,1904,"Starter","Tully","Sparks","FALSE",3.66960064539398e-05,0
"1269","speieju01",35,"no",0,0,17,2025,588,12,2009,3.47,1.17,133,4.16,7.7,1.3,3,8,2.71,2004,"Reliever","Justin","Speier","FALSE",8.24943466499709e-07,0
"1270","spillda01",75,"no",19,3,50,4478,878,12,1985,3.77,1.4,105,3.71,9.1,0.8,3.6,5.7,1.57,1979,"Reliever","Dan","Spillner","FALSE",1.76070315652294e-05,0
"1271","splitpa01",166,"no",88,17,1,7664,1057,15,1984,3.55,1.29,106,3.57,8.9,0.6,2.7,3.8,1.39,1976,"Starter","Paul","Splittorff","FALSE",0.00395771352640477,0.4
"1272","sprinru01",36,"no",1,0,9,2569,775,18,2010,3.38,1.22,141,3.7,7.6,1,3.4,9.2,2.71,2003,"Reliever","Russ","Springer","FALSE",6.40425890719121e-08,0
"1273","staffbi01",43,"no",18,6,9,2357,449,8,1967,3.56,1.24,116,3.82,8,0.9,3,4.9,1.63,1963,"Starter","Bill","Stafford","FALSE",8.6039182213757e-06,0
"1274","stalege01",134,"no",58,9,61,5945,727,15,1961,2.79,1.17,143,3.41,8.5,0.6,2,3.4,1.68,1956,"Reliever","Gerry","Staley","FALSE",0.0102356774780548,1
"1275","staleha01",136,"no",232,10,2,6834,751,8,1895,3.51,1.31,112,3.51,9.3,0.3,2.3,3.2,1.39,1891,"Starter","Harry","Staley","FALSE",0.000741379503344929,0.1
"1276","stangle01",62,"no",32,8,21,3648,718,10,1970,3.44,1.24,106,3.72,8.6,1,2.4,5.3,2.19,1965,"Starter","Lee","Stange","FALSE",1.21479512172636e-06,0
"1277","stanhdo01",38,"no",11,2,64,2281,408,10,1982,3.65,1.5,104,4.09,8.2,0.5,5.1,4.8,0.93,1976,"Reliever","Don","Stanhouse","FALSE",3.77521103297916e-06,0
"1278","stanlbo01",115,"no",21,7,132,5121,693,13,1989,3.08,1.26,125,3.53,8.9,0.5,2.5,3.9,1.56,1983,"Reliever","Bob","Stanley","FALSE",0.0046198691649679,0.5
"1279","stantmi02",68,"no",0,0,84,3342,895,19,2007,3.03,1.29,146,3.64,8.1,0.6,3.4,7.1,2.07,1998,"Reliever","Mike","Stanton","FALSE",2.53852458485754e-06,0
"1280","steined01",109,"no",158,12,3,4968,535,8,1898,3.95,1.45,110,4.34,8.9,0.2,3.9,3,0.78,1893,"Starter","Ed","Stein","FALSE",0.000670725350310833,0.1
"1281","stewada01",168,"no",55,9,19,7889,1741,16,1995,3.18,1.25,124,3.59,8,0.7,3.2,6,1.89,1987,"Starter","Dave","Stewart","FALSE",0.00108245561576689,0.1
"1282","stewale01",101,"no",107,8,8,5166,503,10,1935,4,1.36,108,4.36,9.5,0.6,2.7,2.8,1.01,1931,"Starter","Lefty","Stewart","FALSE",0.000108160484221604,0
"1283","stewasa01",59,"no",4,1,45,2870,586,10,1987,3.47,1.4,113,4.1,8.1,0.7,4.5,5.3,1.18,1982,"Reliever","Sammy","Stewart","FALSE",1.5593155726338e-05,0
"1284","stiebda01",176,"no",103,30,3,8686,1669,16,1998,2.94,1.16,132,3.58,7.5,0.7,2.9,5.7,1.95,1986,"Starter","Dave","Stieb","FALSE",0.00565347400416237,0.6
"1285","stigmdi01",46,"no",30,5,16,2768,755,7,1966,4.03,1.33,93,4.13,7.9,1.3,3.7,7.4,1.98,1963,"Starter","Dick","Stigman","FALSE",2.17037570047915e-07,0
"1286","stiveja01",203,"no",278,14,5,8663,1223,11,1899,3.58,1.39,117,4.03,8.7,0.4,3.7,4.1,1.09,1893,"Starter","Jack","Stivetts","FALSE",0.106803898552764,10.7
"1287","stobbch01",107,"no",65,7,19,5761,897,15,1961,3.56,1.34,112,3.72,9.1,0.8,3,4,1.32,1955,"Starter","Chuck","Stobbs","FALSE",7.58051649616298e-05,0
"1288","stockwe01",27,"no",0,0,22,1552,365,9,1967,3.57,1.24,113,4.01,7.5,1.1,3.7,6.6,1.82,1963,"Reliever","Wes","Stock","FALSE",2.0931382561532e-06,0
"1289","stoddti01",41,"no",0,0,76,2189,582,13,1989,3.33,1.33,128,3.79,7.6,0.9,4.4,7.5,1.72,1983,"Reliever","Tim","Stoddard","FALSE",5.07312444431405e-06,0
"1290","stonebi01",54,"no",45,15,5,3709,934,8,1974,4.05,1.44,93,3.78,8.2,0.8,4.4,7,1.6,1971,"Starter","Bill","Stoneman","FALSE",7.66277732280439e-07,0
"1291","stonege02",60,"no",24,5,5,3062,590,9,1975,3.68,1.32,101,3.68,9.6,1.1,2.2,5.4,2.46,1971,"Starter","George","Stone","FALSE",1.26151951847136e-06,0
"1292","stoneli01",50,"no",45,1,14,3011,299,9,1931,4.74,1.54,88,4.41,10.6,0.5,3.2,2.8,0.86,1926,"Starter","Lil","Stoner","FALSE",5.74400414440161e-06,0
"1293","stonest01",107,"no",43,7,1,5365,1065,11,1981,3.85,1.35,99,4.07,8.6,1,3.6,5.5,1.55,1976,"Starter","Steve","Stone","FALSE",4.59127478744867e-05,0
"1294","stottme01",164,"no",152,40,1,7984,1257,11,1974,2.78,1.18,128,3.36,8.1,0.6,2.6,4.1,1.58,1969,"Starter","Mel","Stottlemyre","FALSE",0.0507593788417272,5.1
"1295","stottto01",138,"no",25,6,1,6575,1587,14,2002,4,1.33,110,4.18,8.5,1,3.4,7.4,2.21,1996,"Starter","Todd","Stottlemyre","FALSE",4.30131459101323e-05,0
"1296","stratsc01",97,"no",199,10,1,5677,570,8,1895,3.77,1.37,111,3.35,9.9,0.1,1.9,2.9,1.53,1891,"Starter","Scott","Stratton","FALSE",1.85910522644728e-05,0
"1297","stulter01",36,"no",4,2,0,2050,433,9,2015,4.17,1.34,99,4.2,9.7,1,2.2,5.7,2.64,2011,"Starter","Eric","Stults","FALSE",8.25091845768708e-08,0
"1298","sturdto01",59,"no",22,7,17,3411,704,10,1964,3.4,1.27,117,3.61,7.8,0.7,3.4,5.4,1.58,1959,"Reliever","Tom","Sturdivant","FALSE",1.08172907308969e-05,0
"1299","sturtta01",40,"no",4,0,3,2391,480,12,2008,5.15,1.52,87,4.97,10.1,1.2,3.7,5.4,1.46,2002,"Starter","Tanyon","Sturtze","FALSE",8.31099039296307e-07,0
"1300","sudhowi01",102,"no",199,10,3,6226,516,10,1906,3.27,1.3,106,3.66,9,0.2,2.6,2.4,0.92,1901,"Starter","Willie","Sudhoff","FALSE",1.02321550942515e-05,0
"1301","suggsge01",99,"no",115,16,17,4956,588,8,1915,3.13,1.26,101,2.92,9.4,0.2,1.9,3.2,1.68,1912,"Starter","George","Suggs","FALSE",0.00013226430246501,0
"1302","sullifr01",97,"no",73,15,18,5196,959,11,1963,3.36,1.28,119,3.47,8.6,0.7,2.8,4.9,1.74,1957,"Starter","Frank","Sullivan","FALSE",0.00010772484819162,0
"1303","sullimi02",54,"no",99,1,4,3334,285,10,1899,4.85,1.66,91,4.91,10.6,0.4,4.5,2.2,0.49,1893,"Starter","Mike","Sullivan","FALSE",2.90565920799812e-05,0
"1304","sullisc01",40,"no",0,0,9,2212,622,10,2004,3.74,1.25,126,4.3,7.8,1,3.4,7.4,2.22,2000,"Reliever","Scott","Sullivan","FALSE",7.98568527899918e-07,0
"1305","suppaje01",140,"no",16,5,0,7628,1390,17,2012,4.33,1.41,105,4.7,9.7,1.1,3,5,1.69,2003,"Starter","Jeff","Suppan","FALSE",1.65586856921144e-05,0
"1306","surkoma01",61,"no",53,7,8,3583,571,9,1957,4.15,1.38,97,4.15,8.8,0.9,3.4,4.2,1.24,1952,"Starter","Max","Surkont","FALSE",9.07640310970879e-06,0
"1307","sutclri01",171,"no",72,18,6,8093,1679,18,1994,3.52,1.29,112,3.57,8.3,0.7,3.4,6.1,1.82,1985,"Starter","Rick","Sutcliffe","FALSE",0.00228742709448657,0.2
"1308","suttebr01",68,"no",0,0,300,3126,861,12,1988,2.23,1.06,187,2.64,7.1,0.5,2.5,7.4,3,1980,"Reliever","Bruce","Sutter","TRUE",0.333504737184173,33.4
"1309","suttodo01",324,"yes",178,58,5,15847,3574,23,1988,2.62,1.04,143,2.78,7.2,0.6,2.1,6.3,3,1976,"Starter","Don","Sutton","TRUE",0.968423210886989,96.8
"1310","swancr01",59,"no",25,7,2,3707,673,12,1984,3.36,1.23,117,3.53,8.4,0.7,2.4,5,2.08,1978,"Starter","Craig","Swan","FALSE",7.14348109772987e-07,0
"1311","swiftbi01",95,"no",78,7,20,4913,636,11,1943,3.57,1.23,121,3.72,9.2,0.5,1.8,3.3,1.88,1936,"Starter","Bill","Swift","FALSE",0.000160017551289295,0
"1312","swiftbi02",94,"no",11,4,27,4799,767,13,1998,3.07,1.22,143,3.55,8.4,0.6,2.3,4.9,2.1,1992,"Starter","Bill","Swift","FALSE",2.56183036068296e-05,0
"1313","swindgr01",123,"no",40,12,7,6700,1542,17,2002,3.19,1.17,128,3.3,8.8,0.7,1.7,6.4,3.85,1995,"Reliever","Greg","Swindell","FALSE",5.31745652563533e-05,0
"1314","tananfr01",240,"no",143,34,1,12565,2773,21,1993,2.97,1.16,131,3.32,7.9,0.9,2.5,7.1,2.81,1979,"Starter","Frank","Tanana","FALSE",0.0211198965022978,2.1
"1315","tanneje01",197,"no",264,34,7,8278,944,15,1911,2.5,1.14,135,2.82,8.9,0.1,1.5,3,2.02,1901,"Starter","Jesse","Tannehill","FALSE",0.376792024551684,37.7
"1316","tapanke01",143,"no",26,9,0,6795,1482,13,2001,4.11,1.29,109,4.01,9.3,1,2.2,5.7,2.61,1995,"Starter","Kevin","Tapani","FALSE",0.00042193680205164,0
"1317","tavarju01",88,"no",2,0,23,4213,842,17,2009,3.53,1.35,133,3.97,9,0.6,3.3,5.2,1.59,2000,"Reliever","Julian","Tavarez","FALSE",3.53993291825456e-05,0
"1318","tayloch02",28,"no",6,2,31,1821,282,8,1976,3.11,1.23,123,3.39,8.4,0.6,2.3,4.3,1.84,1972,"Reliever","Chuck","Taylor","FALSE",1.06138779966682e-06,0
